مُتَّخِذٌ,فاعل,اِتَّخَذَ,مذكر,مفرد
مُتَأَبِّطٌ,فاعل,تَأَبَّطَ,مذكر,مفرد
آتِي,فاعل,أَتَى,مذكر,مفرد
أَوَاتِي,فاعل,أَتَى,NULL,جمع
مُؤَثِّرٌ,فاعل,أَثَّرَ,مذكر,مفرد
مُسْتَأْثِرٌ,فاعل,اِسْتَأْثَرَ,مذكر,مفرد
مُتَأَثِّرٌ,فاعل,تَأَثَّرَ,مذكر,مفرد
آثِمٌ,فاعل,أَثِمَ,مذكر,مفرد
مُتَأَجِّجٌ,فاعل,تَأَجَّجَ,مذكر,مفرد
مُؤَجِّرٌ,فاعل,أَجَّرَ,مذكر,مفرد
مُسْتَأْجِرٌ,فاعل,اِسْتَأْجَرَ,مذكر,مفرد
مُؤَجِّلٌ,فاعل,أَجَّلَ,مذكر,مفرد
مُؤَخِّرٌ,فاعل,أَخَّرَ,مذكر,مفرد
مُتَأَخِّرٌ,فاعل,تَأَخَّرَ,مذكر,مفرد
مُؤَدِّبٌ,فاعل,أَدَّبَ,مذكر,مفرد
مُتَأَدِّبٌ,فاعل,تَأَدَّبَ,مذكر,مفرد
مُؤَدِّي,فاعل,أَدَّى,مذكر,مفرد
مُؤَذِّنٌ,فاعل,أَذَّنَ,مذكر,مفرد
مُؤْذِي,فاعل,آذَى,مذكر,مفرد
مُؤََارِبٌ,فاعل,آرَبَ,مذكر,مفرد
مُؤَرِّخٌ,فاعل,أرَّخَ,مذكر,مفرد
مُؤْتَزِرٌ,فاعل,اِئْتَزَرَ,مذكر,مفرد
مُؤَسِّسٌ,فاعل,أَسَّسَ,مذكر,مفرد
مُؤْسِفٌ,فاعل,آسَفَ,مذكر,مفرد
آسِفٌ,فاعل,أسِفَ,مذكر,مفرد
أَوَاسِفٌ,فاعل,أسِفَ,NULL,جمع
مُتَأَسِّفٌ,فاعل,تَأَسَّفَ,مذكر,مفرد
آسِنٌ,فاعل,أسَنَ,مذكر,مفرد
مُؤَشِّرٌ,فاعل,أَشَّرَ,مذكر,مفرد
مُتَأَصِّلٌ,فاعل,تَأَصَّلَ,مذكر,مفرد
آفِلٌ,فاعل,أَفَلَ,مذكر,مفرد
أُفَّلٌ,فاعل,أَفَلَ,NULL,جمع
أُفُولٌ,فاعل,أَفَلَ,NULL,جمع
مُتَأَقْلِمٌ,فاعل,تَأَقْلَمَ,مذكر,مفرد
مُؤَكِّدٌ,فاعل,أَكَّدَ,مذكر,مفرد
مُتَأَكِّدٌ,فاعل,تَأَكَّدَ,مذكر,مفرد
مُؤِكْسِدٌ,فاعل,أَكْسَدَ,مذكر,مفرد
مُتَأَكْسِدٌ,فاعل,تَأَكْسَدَ,مذكر,مفرد
مُتَآلِفٌ,فاعل,تآلَفَ,مذكر,مفرد
مُؤَلِّفٌ,فاعل,أَلَّفَ,مذكر,مفرد
مُؤْتَلِفٌ,فاعل,اِئْتَلَفَ,مذكر,مفرد
مُتَأَلِّقٌ,فاعل,تَأَلَّقَ,مذكر,مفرد
مُؤْلِمٌ,فاعل,آلَمَ,مذكر,مفرد
آمِرٌ,فاعل,أمر,مذكر,مفرد
أَوَامِرٌ,فاعل,أمر,NULL,جمع
آمِنٌ,فاعل,أمِنَ,NULL,مفرد
أَوَامِنٌ,فاعل,أمِنَ,NULL,جمع
مُؤْتَمِرٌ,فاعل,اِئْتَمَرَ,مذكر,مفرد
مُتَآمِرٌ,فاعل,تَآمَرَ,مذكر,مفرد
مُتَأَمْرِكٌ,فاعل,تَأَمْرَكَ,مذكر,مفرد
مُتَأَمِّلٌ,فاعل,تَأَمَّلَ,مذكر,مفرد
مُؤَمِّلٌ,فاعل,أَمَّلَ,مذكر,مفرد
مُؤْمِنٌ,فاعل,آمَنَ,مذكر,مفرد
مُؤْنِسٌ,فاعل,آنَسَ,مذكر,مفرد
مُسْتَأْنِفٌ,فاعل,اِسْتَأْنَفَ,مذكر,مفرد
مُتَأَنِّقٌ,فاعل,تَأَنَّقَ,مذكر,مفرد
مُتَأَنِّي,فاعل,تَأَنَّى,مذكر,مفرد
مُتَأَهِّبٌ,فاعل,تَأَهَّبَ,مذكر,مفرد
مُسْتَأْهِلٌ,فاعل,اِسْتَأْهَلَ,مذكر,مفرد
آهِلٌ,فاعل,أهَل,مذكر,مفرد
أَوَاهِلٌ,فاعل,أهَل,NULL,جمع
مُتَأَهِّلٌ,فاعل,تَأَهَّلَ,مذكر,مفرد
مُتَأَوِّهٌ,فاعل,تَأَوَّهَ,مذكر,مفرد
مُؤَيِّدٌ,فاعل,أَيَّدَ,مذكر,مفرد
بَائِسٌ,فاعل,بَئِسَ,مذكر,مفرد
بُؤْسٌ,فاعل,بَئِسَ,NULL,جمع
بُؤسَاءُ,فاعل,بَئِسَ,NULL,جمع
بَوَائِسٌ,فاعل,بَئِسَ,NULL,جمع
مُنْبَتٌّ,فاعل,اِنْبَتَّ,مذكر,مفرد
بَاتٌّ,فاعل,بَتَّ,مذكر,مفرد
بَوَائِرٌ,فاعل,بَأَرَ,NULL,جمع
بَاتِرٌ,فاعل,بَتَرَ,مذكر,مفرد
بَوَاتِرُ,فاعل,بَتَرَ,NULL,جمع
بُتََّارٌ,فاعل,بَتَرَ,NULL,جمع
بَتَرَةٌ,فاعل,بَتَرَ,NULL,جمع
بَاثٌّ,فاعل,بثّ,مذكر,مفرد
بُوََّاثٌ,فاعل,بثّ,NULL,جمع
مُبَخِّرٌ,فاعل,بَخَّر,مذكر,مفرد
بَثَثَةٌ,فاعل,بثّ,NULL,جمع
بَاجِحٌ,فاعل,بَجَحَ,مذكر,مفرد
بَوَاجِحُ,فاعل,بَجَحَ,NULL,جمع
بَجَحَةٌ,فاعل,بَجَحَ,NULL,جمع
بُجََّاحٌ,فاعل,بَجَحَ,NULL,جمع
بَاحِثٌ,فاعل,بَحَثَ,مذكر,مفرد
