مُقَفَّى,مفعول,قَفَّى,مذكر,مفرد
مُقَفّاة,مفعول,قَفَّى,مؤنث,مفرد
مَبْتُوتٌ,مفعول,بَتَّ,مذكر,مفرد
مُضَافٌ,مفعول,أَضَافَ,مذكر,مفرد
مُبَيَّضَةٌ,مفعول,بَيَّضَ,مؤنث,مفرد
مُبَانٌ,مفعول,أَبَانَ,مذكر,مفرد
مُقَشَّرٌ,مفعول,قَشَّرَ,مذكر,مفرد
مُهَبَّلٌ,مفعول,هَبَّلَ,مذكر,مفرد
مُعَوَّضٌ,مفعول,عَوَّضَ,مذكر,مفرد
مَيْمُونٌ,مفعول,يَمَنَ,مذكر,مفرد
مَيَامِينُ,مفعول,يَمَنَ,NULL,جمع
مُنْكَبٌّ,مفعول,اِنْكَبَّ,مذكر,مفرد
مَنْدُوبٌ,مفعول,نَدَبَ,مذكر,مفرد
مَنَادِيبُ,مفعول,نَدَبَ,NULL,جمع
مَنْجُورٌ,مفعول,نَجَرَ,مذكر,مفرد
مَنْثُورٌ,مفعول,نَثَرَ,مذكر,مفرد
مَدْعُوٌّ,مفعول,NULL,مذكر,مفرد
مُدْمَى,مفعول,NULL,NULL,مفرد
مُدْماةٌ,مفعول,NULL,مؤنث,مفرد
مَخْطُوطٌ,مفعول,خَطَّ,مذكر,مفرد
مَجْمُوعٌ,مفعول,جَمَعَ,مذكر,مفرد
مُلَطَّمٌ,مفعول,NULL,مذكر,مفرد
مُكَعَّبٌ,مفعول,كَعَّبَ,مذكر,مفرد
مُكَسَّحٌ,مفعول,كَسَّحَ,مذكر,مفرد
مُفَلْطَحٌ,مفعول,فَلْطَحَ,مذكر,مفرد
مُسْتَعْمَرٌ,مفعول,اِسْتَعْمَرَ,مذكر,مفرد
مُعَلَّبٌ,مفعول,عَلَّبَ,مذكر,مفرد
مُعْرَبٌ,مفعول,أَعْرَبَ,مذكر,مفرد
مَعْتُوهٌ,مفعول,NULL,مذكر,مفرد
مَعاتيهُ,مفعول,NULL,NULL,جمع
مُطَاعٌ,مفعول,أَطَاعَ,مذكر,مفرد
مُطَرَّفٌ,مفعول,NULL,مذكر,مفرد
مَضِيفٌ,مفعول,NULL,مذكر,مفرد
مَصُونٌ,مفعول,NULL,مذكر,مفرد
مَشْوِيٌّ,مفعول,NULL,مذكر,مفرد
مُشَوَّكٌ,مفعول,NULL,مذكر,مفرد
طُعْمَةٌ,مفعول,NULL,مؤنث,مفرد
طُعَمٌ,مفعول,NULL,NULL,جمع
ضُحْكَةٌ,مفعول,NULL,مؤنث,مفرد
مُضْغَةٌ,مفعول,NULL,مؤنث,مفرد
مُضَغٌ,مفعول,NULL,NULL,جمع
أُكَلَةٌ,مفعول,NULL,مؤنث,مفرد
رِعْيٌ,مفعول,NULL,NULL,مفرد
أَرْعاءُ,مفعول,NULL,NULL,جمع
ذِبْحٌ,مفعول,NULL,NULL,مفرد
مُنْخَفَضٌ,مفعول,NULL,مذكر,مفرد
مُجْمَعٌ,مفعول,NULL,مذكر,مفرد
